Year,Accepted_Penalty_Count,Penalty_Yards,Team_Penalty_Count,Team_Penalty_Yards,wins,losses,win_loss_perc,points,points_opp,points_diff,g,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,score_pct,turnover_pct,exp_pts_tot,Superbowl Champion,Pass_yds_per_att,Rush_yds_per_att,total_tds,total_fds,Team_Atlanta Falcons,Team_Baltimore Ravens,Team_Buffalo Bills,Team_Carolina Panthers,Team_Chicago Bears,Team_Cincinnati Bengals,Team_Cleveland Browns,Team_Dallas Cowboys,Team_Denver Broncos,Team_Detroit Lions,Team_Green Bay Packers,Team_Houston Texans,Team_Indianapolis Colts,Team_Jacksonville Jaguars,Team_Kansas City Chiefs,Team_Las Vegas Raiders,Team_Los Angeles Chargers,Team_Los Angeles Rams,Team_Miami Dolphins,Team_Minnesota Vikings,Team_New England Patriots,Team_New Orleans Saints,Team_New York Giants,Team_New York Jets,Team_Philadelphia Eagles,Team_Pittsburgh Steelers,Team_San Francisco 49ers,Team_Seattle Seahawks,Team_Tampa Bay Buccaneers,Team_Tennessee Titans,Team_Washington Commanders
2005,200.56986322867544,1677.0639294332939,97.09293984224013,852.5627169172994,6,10,0.375,232,301,-69,16,4550,938,4.9,30,13,241,297,497,3047,15,17,5.6,149,395,1503,4,3.8,76,25.8,16.9,-234.39,0.0,6.130784708249497,3.8050632911392404,19,225,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2006,201.11126030099078,1689.8587516819043,104.35088596861591,880.5687568312316,4,12,0.25,238,356,-118,16,4233,938,4.5,42,17,250,318,512,2898,15,25,5.1,153,372,1335,7,3.6,72,22.9,21.3,-306.41,0.0,5.66015625,3.588709677419355,22,225,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2007,203.79321270289824,1643.703989963797,114.75076059902553,925.6587858027024,10,6,0.625,402,382,20,16,5621,1004,5.6,29,9,315,305,545,3726,29,20,6.6,192,440,1895,13,4.3,110,35.4,14.6,-120.58,0.0,6.836697247706422,4.306818181818182,42,302,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2008,205.24841568229579,1730.992048598313,98.49174086786255,826.3021967332616,4,12,0.25,232,350,-118,16,3985,921,4.3,26,6,233,238,488,2380,11,20,4.6,127,409,1605,6,3.9,84,27.3,14.5,-217.96,0.0,4.877049180327869,3.924205378973105,17,211,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,178.0,1490.0,77.0,678.0,5,11,0.313,245,375,-130,16,4163,971,4.3,31,13,237,219,443,2076,11,18,4.4,118,498,2087,10,4.2,102,23.3,16.4,-207.34,0.0,4.686230248306997,4.190763052208835,21,220,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,163.0,1416.0,79.0,680.0,5,11,0.313,271,332,-61,16,4635,927,5.0,29,11,265,296,478,2989,13,18,5.8,154,413,1646,13,4.0,87,27.7,15.8,-169.65,0.0,6.2531380753138075,3.9854721549636802,26,241,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,185.0,1573.0,95.0,847.0,4,12,0.25,218,307,-89,16,4621,1024,4.5,19,6,278,320,570,3090,16,13,5.1,173,415,1531,4,3.7,77,24.4,10.0,-180.18,0.0,5.421052631578948,3.689156626506024,20,250,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,234.0,2013.0,113.0,1005.0,5,11,0.313,302,368,-66,16,5028,998,5.0,26,8,279,328,566,3435,16,18,5.7,185,396,1593,12,4.0,71,29.8,12.0,-139.68,0.0,6.068904593639576,4.0227272727272725,28,256,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,199.0,1665.0,104.0,920.0,4,12,0.25,308,406,-98,16,5423,1078,5.0,29,9,301,379,681,4040,26,20,5.5,200,348,1383,4,4.0,77,26.2,13.8,-83.4,0.0,5.932452276064611,3.9741379310344827,30,277,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,214.0,1701.0,116.0,932.0,7,9,0.438,299,337,-38,16,5193,1010,5.1,23,7,294,274,502,3465,12,16,6.5,179,477,1728,17,3.6,88,28.0,10.9,-21.15,0.0,6.902390438247012,3.6226415094339623,29,267,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,228.0,1916.0,120.0,1083.0,3,13,0.188,278,432,-154,16,5311,1042,5.1,30,18,307,371,609,3782,20,12,5.7,192,380,1529,5,4.0,81,29.8,15.2,-66.22,0.0,6.210180623973727,4.023684210526316,25,273,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,199.0,1666.0,95.0,736.0,1,15,0.063,264,452,-188,16,4976,983,5.1,25,11,296,338,567,3264,15,14,5.2,181,350,1712,13,4.9,83,27.2,13.3,-72.41,0.0,5.756613756613756,4.8914285714285715,28,264,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,211.0,1830.0,110.0,924.0,0,16,0.0,234,410,-176,16,4942,1008,4.9,41,13,290,312,574,3228,15,28,5.2,157,384,1714,11,4.5,97,22.0,21.0,-233.13,0.0,5.623693379790941,4.463541666666667,26,254,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,231.0,1884.0,112.0,894.0,7,8,0.469,359,392,-33,16,5900,1023,5.8,24,7,314,353,574,4007,29,17,6.5,189,411,1893,15,4.6,93,31.2,11.4,36.91,0.0,6.980836236933798,4.605839416058394,44,282,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,229.0,1943.0,122.0,1106.0,6,10,0.375,335,393,-58,16,5455,973,5.6,28,7,305,318,539,3554,22,21,6.1,180,393,1901,15,4.8,90,33.9,14.8,13.54,0.0,6.5936920222634505,4.837150127226463,37,270,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,184.0,1556.0,100.0,870.0,11,5,0.688,408,419,-11,16,5913,1022,5.8,16,8,355,315,501,3539,27,8,6.7,195,495,2374,21,4.8,133,40.6,9.7,159.48,0.0,7.063872255489022,4.795959595959596,48,328,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,202.0,1830.0,108.0,989.0,8,9,0.471,349,371,-22,17,5791,1054,5.5,22,8,342,320,520,3320,21,14,5.8,177,485,2471,20,5.1,138,32.2,12.4,58.49,0.0,6.384615384615385,5.094845360824742,41,315,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,177.0,1494.0,93.0,800.0,7,10,0.412,361,381,-20,17,5934,1116,5.3,21,9,350,335,540,3444,19,12,5.9,182,532,2490,19,4.7,142,34.6,11.2,58.03,0.0,6.377777777777778,4.680451127819549,38,324,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,204.76328006788697,1742.6378912189498,104.54923810684812,892.5261079732928,11,6,0.647,396,362,34,17,5710,1187,4.8,37,14,325,355,624,3693,24,23,5.5,173,518,2017,15,3.9,121,32.9,16.2,-110.55,0.0,5.918269230769231,3.893822393822394,39,294,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2003,196.79932792990786,1667.1020101490765,98.08952058315307,811.7327170105539,10,6,0.625,289,260,29,16,5161,1062,4.9,29,8,286,294,510,3162,17,21,5.8,149,515,1999,11,3.9,115,25.1,13.8,-251.47,0.0,6.2,3.8815533980582524,28,264,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2004,199.14729488943487,1718.5813964609645,97.57555661174052,810.5950778831846,6,10,0.375,293,405,-112,16,5197,1004,5.2,37,14,296,308,519,3428,19,23,6.2,171,449,1769,14,3.9,101,28.3,19.3,-152.34,0.0,6.605009633911368,3.939866369710468,33,272,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2005,204.72838986661586,1886.2095155947545,90.71881956540332,824.8113948412863,9,7,0.563,325,308,17,16,5202,1071,4.9,31,14,318,300,500,3341,23,17,6.1,177,521,1861,13,3.6,97,28.9,15.5,-158.41,0.0,6.682,3.5719769673704413,36,274,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2006,207.06426543171997,1713.9223057635638,99.7177586158627,769.0656876144687,9,7,0.563,425,350,75,16,5772,1015,5.7,30,9,336,310,506,3836,26,21,7.1,197,472,1936,21,4.1,107,38.1,15.3,-35.15,0.0,7.5810276679841895,4.101694915254237,47,304,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2007,198.16229760397994,1793.0966425165252,96.39338016043875,891.6845060726909,13,3,0.813,455,325,130,16,5851,975,6.0,24,5,322,342,531,4105,36,19,7.4,217,419,1746,14,4.2,83,41.8,12.6,19.43,0.0,7.730696798493408,4.167064439140812,50,300,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2008,199.58179427024018,1563.2586506134774,104.61686167186903,758.9072025714923,9,7,0.563,362,365,-3,16,5512,979,5.6,33,13,291,328,547,3789,29,20,6.6,171,401,1723,12,4.3,102,32.1,16.3,-88.66,0.0,6.926873857404022,4.296758104738155,41,273,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,207.0,1655.0,115.0,892.0,11,5,0.688,361,250,111,16,6390,1020,6.3,19,10,335,347,550,4287,26,9,7.3,203,436,2103,14,4.8,110,33.5,9.5,-32.87,0.0,7.794545454545455,4.823394495412844,40,313,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,188.0,1514.0,109.0,873.0,6,10,0.375,394,436,-42,16,5828,1035,5.6,30,11,327,379,576,4042,29,19,6.7,201,428,1786,10,4.2,104,34.6,14.8,-108.16,0.0,7.017361111111111,4.172897196261682,39,305,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,199.0,1466.0,114.0,816.0,8,8,0.5,369,347,22,16,6008,1017,5.9,21,9,327,376,570,4201,33,12,6.9,219,408,1807,5,4.4,91,37.8,11.4,-45.46,0.0,7.370175438596491,4.428921568627451,38,310,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,207.0,1579.0,118.0,853.0,8,8,0.5,376,400,-24,16,5994,1049,5.7,29,10,338,434,658,4729,29,19,6.8,237,355,1265,8,3.6,76,36.7,15.0,-39.11,0.0,7.186930091185411,3.563380281690141,37,313,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,214.0,1742.0,102.0,867.0,8,8,0.5,439,432,7,16,5458,957,5.7,20,8,325,375,586,3954,33,12,6.4,213,336,1504,12,4.5,80,39.9,9.8,88.89,0.0,6.747440273037543,4.476190476190476,45,293,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,209.0,1707.0,105.0,839.0,12,4,0.75,467,352,115,16,6138,1014,6.1,25,14,342,328,476,3784,37,11,7.5,205,508,2354,16,4.6,106,43.6,12.8,174.23,0.0,7.949579831932773,4.633858267716535,53,311,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,225.0,1783.0,112.0,882.0,4,12,0.25,275,374,-99,16,5361,969,5.5,33,11,307,334,528,3471,16,22,6.2,175,408,1890,8,4.6,94,31.4,18.0,-51.92,0.0,6.573863636363637,4.632352941176471,24,269,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,195.0,1663.0,105.0,879.0,13,3,0.813,421,306,115,16,6027,1010,6.0,15,9,358,325,483,3631,25,6,7.1,191,499,2396,24,4.8,142,43.9,8.7,86.3,0.0,7.5175983436853,4.801603206412826,49,333,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,204.0,1819.0,97.0,939.0,9,7,0.563,354,332,22,16,5311,1005,5.3,22,9,314,309,493,3141,22,13,6.0,162,480,2170,18,4.5,127,36.3,11.1,-40.65,0.0,6.371196754563894,4.520833333333333,40,289,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,193.0,1567.0,104.0,886.0,10,6,0.625,339,324,15,16,5501,1022,5.4,17,9,322,356,527,3538,22,8,6.1,184,439,1963,13,4.5,113,37.9,10.1,83.04,0.0,6.713472485768501,4.471526195899772,35,297,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,211.0,1863.0,109.0,1008.0,8,8,0.5,434,321,113,16,6904,1069,6.5,18,7,379,388,597,4751,30,11,7.7,229,449,2153,18,4.8,120,44.6,10.3,210.77,0.0,7.958123953098827,4.795100222717149,48,349,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,187.0,1582.0,96.0,849.0,6,10,0.375,395,473,-78,16,5949,1113,5.3,26,13,371,413,639,4161,25,13,6.1,231,430,1788,14,4.2,115,40.6,14.4,58.97,0.0,6.511737089201878,4.158139534883721,39,346,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,240.0,2002.0,122.0,1059.0,12,5,0.706,530,358,172,17,6919,1153,6.0,20,9,390,444,647,4800,40,11,7.1,248,473,2119,15,4.5,111,43.8,9.9,158.06,0.0,7.418856259659969,4.479915433403805,55,359,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,194.0,1609.0,98.0,768.0,12,5,0.706,467,342,125,17,6034,1114,5.4,23,5,347,355,556,3736,28,18,6.4,194,531,2298,24,4.3,129,41.5,10.8,112.34,0.0,6.719424460431655,4.327683615819209,52,323,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,195.26464641958407,1693.3048925979442,98.88725712335916,879.020131000909,12,5,0.706,509,315,194,17,6317,1122,5.6,16,6,385,428,614,4397,36,10,6.7,229,468,1920,14,4.1,113,50.3,8.9,192.72,0.0,7.1612377850162865,4.102564102564102,50,342,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2003,194.99146011058693,1742.5600733295244,95.09419185177279,846.2636386226899,10,6,0.625,381,301,80,16,5598,1047,5.3,24,6,334,280,479,2969,19,18,5.9,162,543,2629,20,4.8,133,36.6,12.0,-127.67,0.0,6.198329853862213,4.841620626151013,39,295,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2004,206.32841385714207,1801.3981513998906,99.35462657059549,861.3500755997538,10,6,0.625,381,304,77,16,6332,1070,5.9,29,9,351,303,521,3999,27,20,7.5,184,534,2333,13,4.4,127,36.1,14.7,-58.67,0.0,7.675623800383877,4.368913857677903,40,311,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2005,209.886483426703,1714.2361269789233,101.02077251798255,874.719683228362,13,3,0.813,395,258,137,16,5766,1030,5.6,16,9,330,279,465,3227,18,7,6.6,162,542,2539,25,4.7,145,36.0,8.1,-52.48,0.0,6.939784946236559,4.68450184501845,43,307,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2006,201.94304734973696,1699.751727486978,98.97032705068017,890.5361360088539,9,7,0.563,319,305,14,16,4951,973,5.1,30,12,285,256,454,2799,20,18,5.8,151,488,2152,12,4.4,106,30.7,14.6,-139.19,0.0,6.165198237885463,4.409836065573771,32,257,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2007,209.82324684191133,1698.3782298290246,108.77055706325922,931.4268377793661,7,9,0.438,320,409,-89,16,5541,976,5.7,29,14,305,326,515,3584,21,15,6.6,187,429,1957,10,4.6,96,32.8,14.7,-72.86,0.0,6.959223300970874,4.561771561771562,31,283,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2008,202.46636452377453,1679.832219661012,106.20809157562469,801.8479341618331,8,8,0.5,370,448,-78,16,6333,1019,6.2,30,12,354,386,620,4471,25,18,7.1,223,387,1862,15,4.8,103,38.9,17.4,40.33,0.0,7.211290322580645,4.811369509043928,40,326,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,172.0,1531.0,94.0,805.0,8,8,0.5,326,324,2,16,5463,1032,5.3,23,10,306,341,558,3627,21,13,6.1,186,440,1836,9,4.2,95,31.7,11.6,-111.32,0.0,6.5,4.172727272727273,30,281,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,196.0,1866.0,98.0,944.0,4,12,0.25,344,471,-127,16,5582,1018,5.5,27,15,309,334,580,4038,25,12,6.5,204,398,1544,13,3.9,81,30.6,11.7,-125.44,0.0,6.962068965517242,3.879396984924623,38,285,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,200.0,1687.0,101.0,842.0,8,8,0.5,309,390,-81,16,5066,1017,5.0,30,17,286,217,429,2434,20,13,5.2,130,546,2632,11,4.8,129,24.5,14.2,-154.77,0.0,5.673659673659674,4.82051282051282,31,259,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,223.0,1756.0,100.0,805.0,13,3,0.813,481,289,192,16,6366,1090,5.8,25,14,380,402,588,4534,37,11,7.4,232,481,1832,12,3.8,112,39.9,12.2,54.27,0.0,7.710884353741497,3.808731808731809,49,344,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,214.0,1807.0,117.0,1000.0,13,3,0.813,606,399,207,16,7317,1156,6.3,26,16,435,461,675,5444,55,10,7.8,293,461,1873,16,4.1,107,47.5,10.4,277.21,0.0,8.065185185185186,4.06290672451193,71,400,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,223.0,1861.0,120.0,1045.0,12,4,0.75,482,354,128,16,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,39.9,9.6,140.4,0.0,7.6787479406919275,4.029345372460496,55,325,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,219.0,1836.0,115.0,1063.0,12,4,0.75,355,296,59,16,5688,1056,5.4,31,8,314,368,606,3970,19,23,6.2,201,411,1718,13,4.2,85,31.2,15.1,-50.98,1.0,6.551155115511551,4.180048661800487,32,286,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,229.0,1975.0,119.0,985.0,9,7,0.563,333,297,36,16,5169,1020,5.1,25,14,290,339,570,3685,20,11,6.0,181,410,1484,11,3.6,76,30.3,11.6,-94.99,0.0,6.464912280701754,3.6195121951219513,31,257,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,202.0,1706.0,113.0,885.0,5,11,0.313,289,382,-93,16,5185,1075,4.8,34,12,297,332,566,3333,19,22,5.4,180,457,1852,8,4.1,92,26.4,16.6,-165.14,0.0,5.8886925795053005,4.052516411378556,27,272,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,248.0,1991.0,125.0,985.0,6,10,0.375,329,349,-20,16,5602,1015,5.5,21,6,320,367,588,3695,19,15,5.9,181,393,1907,18,4.9,107,30.6,11.3,24.23,0.0,6.284013605442177,4.852417302798982,37,288,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,231.0,1957.0,110.0,912.0,7,9,0.438,282,316,-34,16,4777,954,5.0,16,6,279,312,504,3115,16,10,5.7,162,409,1662,11,4.1,77,32.4,9.2,-14.61,0.0,6.180555555555555,4.06356968215159,27,239,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,187.0,1622.0,81.0,670.0,5,11,0.313,323,446,-123,16,5369,1030,5.2,32,9,308,317,556,3451,21,23,5.9,176,442,1918,13,4.3,94,33.0,17.0,-21.82,0.0,6.206834532374101,4.339366515837104,34,270,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,175.0,1542.0,77.0,666.0,7,10,0.412,335,322,13,17,5618,1036,5.4,18,9,331,354,541,3593,20,9,6.2,179,455,2025,16,4.5,124,36.9,9.5,61.32,0.0,6.641404805914973,4.450549450549451,36,303,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,211.0,1823.0,110.0,935.0,5,12,0.294,287,359,-72,17,5527,1078,5.1,24,9,300,345,571,3592,18,15,5.7,166,444,1935,11,4.4,105,28.6,10.6,-41.62,0.0,6.2907180385288965,4.358108108108108,29,271,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,197.51600278689313,1710.0128986163331,95.27830485815716,787.379027286452,8,9,0.471,357,413,-56,17,5072,1016,5.0,22,13,301,337,513,3262,28,9,5.8,154,451,1810,8,4.0,116,34.9,10.6,7.68,0.0,6.358674463937622,4.013303769401331,36,270,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2003,202.21966181896877,1762.9381459225997,101.34323463603477,831.8448752091856,5,11,0.313,270,379,-109,16,4262,975,4.4,28,4,250,319,588,2924,17,24,4.9,152,376,1338,5,3.6,69,23.2,13.7,-212.29,0.0,4.9727891156462585,3.5585106382978724,22,221,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2004,212.39811463859527,1747.0931678646857,109.27131577193887,884.7976913745257,6,10,0.375,296,350,-54,16,4693,949,4.9,20,7,263,285,505,2916,19,13,5.4,142,407,1777,7,4.4,92,26.6,10.1,-132.39,0.0,5.774257425742574,4.3660933660933665,26,234,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2005,202.26781034919102,1812.4481617895713,89.55763854199321,805.93487078732,5,11,0.313,254,345,-91,16,4319,955,4.5,30,12,258,297,520,2848,15,18,5.2,151,404,1471,10,3.6,69,24.6,15.6,-187.33,0.0,5.476923076923077,3.641089108910891,25,220,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2006,214.30756045155812,1816.0628921558143,103.99254555037862,844.961599181558,3,13,0.188,305,398,-93,16,4949,963,5.1,39,17,290,372,596,3820,21,22,5.8,208,304,1129,9,3.7,53,31.9,21.1,-187.39,0.0,6.409395973154362,3.713815789473684,30,261,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2007,189.17247197419547,1651.5908473182913,93.20086488700338,814.7861982172992,7,9,0.438,346,444,-98,16,5166,965,5.4,36,14,303,368,587,3878,19,22,6.0,203,324,1288,13,4.0,73,32.3,18.5,-124.39,0.0,6.606473594548552,3.9753086419753085,32,276,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2008,205.4389214723788,1770.0779903747402,104.3463612966488,862.1754269956041,0,16,0.0,268,517,-249,16,4292,913,4.7,29,10,234,281,509,2960,18,19,5.3,143,352,1332,10,3.8,70,26.2,15.0,-180.57,0.0,5.81532416502947,3.784090909090909,28,213,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,211.0,1712.0,98.0,768.0,2,14,0.125,262,494,-232,16,4784,1037,4.6,41,9,281,316,585,3168,16,32,5.0,168,409,1616,9,4.0,82,23.7,20.1,-196.67,0.0,5.415384615384616,3.9511002444987775,25,250,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,241.0,1872.0,136.0,1018.0,6,10,0.375,362,369,-7,16,5423,1064,5.1,25,9,304,383,633,3810,26,16,5.8,199,404,1613,11,4.0,83,32.1,12.4,-105.43,0.0,6.018957345971564,3.992574257425743,37,282,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,246.0,2052.0,128.0,1075.0,10,6,0.625,474,387,87,16,6337,1058,6.0,23,7,349,423,666,4814,41,16,6.9,244,356,1523,9,4.3,71,37.6,10.7,33.96,0.0,7.228228228228228,4.27808988764045,50,315,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,196.0,1732.0,103.0,944.0,4,12,0.25,372,437,-65,16,6540,1160,5.6,33,16,382,445,740,4927,22,17,6.4,272,391,1613,17,4.1,84,36.0,15.2,-59.66,0.0,6.658108108108108,4.125319693094629,39,356,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
